VX,VY, tiempo
1.868529999999999913e-01,-4.143339999999999801e-01,1.011400000000000077e+01
1.894190000000000040e-01,-4.136569999999999969e-01,1.019699999999999918e+01
1.928300000000000014e-01,-4.127779999999999783e-01,1.029700000000000060e+01
1.948159999999999892e-01,-4.122859999999999858e-01,1.039700000000000024e+01
1.973650000000000126e-01,-4.116920000000000024e-01,1.049699999999999989e+01
1.987839999999999885e-01,-4.113970000000000127e-01,1.059800000000000075e+01
2.004990000000000105e-01,-4.111090000000000022e-01,1.069800000000000040e+01
2.014199999999999879e-01,-4.110179999999999945e-01,1.079800000000000004e+01
2.023109999999999908e-01,-4.110420000000000185e-01,1.089799999999999969e+01
2.026469999999999938e-01,-4.111609999999999987e-01,1.099799999999999933e+01
2.027710000000000068e-01,-4.114849999999999897e-01,1.109900000000000020e+01
2.026090000000000113e-01,-4.117959999999999954e-01,1.119899999999999984e+01
2.020059999999999911e-01,-4.123990000000000156e-01,1.129899999999999949e+01
2.013739999999999974e-01,-4.128890000000000060e-01,1.139899999999999913e+01
2.000909999999999911e-01,-4.137489999999999779e-01,1.149900000000000055e+01
1.990200000000000025e-01,-4.143990000000000173e-01,1.159900000000000020e+01
1.971060000000000034e-01,-4.154840000000000200e-01,1.169999999999999929e+01
1.956330000000000013e-01,-4.162739999999999774e-01,1.180000000000000071e+01
1.931410000000000071e-01,-4.175459999999999727e-01,1.190000000000000036e+01
1.911829999999999918e-01,-4.185079999999999911e-01,1.200000000000000000e+01
1.881599999999999939e-01,-4.199370000000000047e-01,1.209999999999999964e+01
1.859879999999999867e-01,-4.209319999999999729e-01,1.220100000000000051e+01
1.825070000000000026e-01,-4.224700000000000122e-01,1.230100000000000016e+01
1.800509999999999888e-01,-4.235229999999999828e-01,1.240099999999999980e+01
1.761800000000000033e-01,-4.251369999999999871e-01,1.250099999999999945e+01
1.734860000000000013e-01,-4.262299999999999978e-01,1.260100000000000087e+01
1.692899999999999960e-01,-4.278779999999999806e-01,1.270100000000000051e+01
1.664009999999999934e-01,-4.289839999999999764e-01,1.280100000000000016e+01
1.619490000000000096e-01,-4.306360000000000188e-01,1.290199999999999925e+01
1.589119999999999977e-01,-4.317300000000000026e-01,1.300200000000000067e+01
1.540769999999999917e-01,-4.334219999999999740e-01,1.310200000000000031e+01
1.509369999999999878e-01,-4.344890000000000141e-01,1.320199999999999996e+01
1.461780000000000024e-01,-4.360640000000000072e-01,1.330199999999999960e+01
1.429819999999999980e-01,-4.370890000000000053e-01,1.340300000000000047e+01
1.381739999999999913e-01,-4.385879999999999779e-01,1.350300000000000011e+01
1.349690000000000056e-01,-4.395609999999999795e-01,1.360299999999999976e+01
1.301789999999999892e-01,-4.409730000000000039e-01,1.370299999999999940e+01
1.270060000000000078e-01,-4.418819999999999970e-01,1.380300000000000082e+01
1.222950000000000009e-01,-4.431930000000000036e-01,1.390300000000000047e+01
1.191949999999999954e-01,-4.440319999999999823e-01,1.400399999999999956e+01
1.146220000000000017e-01,-4.452369999999999939e-01,1.410399999999999920e+01
1.116329999999999961e-01,-4.459989999999999788e-01,1.420400000000000063e+01
1.070720000000000005e-01,-4.471339999999999759e-01,1.430400000000000027e+01
1.042320000000000052e-01,-4.478219999999999978e-01,1.440399999999999991e+01
1.000989999999999935e-01,-4.487970000000000015e-01,1.450399999999999956e+01
9.743499999999999384e-02,-4.494079999999999742e-01,1.460399999999999920e+01
9.358700000000000352e-02,-4.502709999999999768e-01,1.470500000000000007e+01
9.112599999999999867e-02,-4.508099999999999885e-01,1.480499999999999972e+01
8.760099999999999831e-02,-4.515689999999999982e-01,1.490499999999999936e+01
8.536599999999999744e-02,-4.520390000000000241e-01,1.500500000000000078e+01
8.219500000000000417e-02,-4.526970000000000161e-01,1.513700000000000045e+01
8.020499999999999852e-02,-4.531040000000000068e-01,1.520599999999999952e+01
7.730099999999999472e-02,-4.536919999999999842e-01,1.530599999999999916e+01
7.557600000000000429e-02,-4.540339999999999931e-01,1.540600000000000058e+01
7.319000000000000505e-02,-4.545029999999999903e-01,1.550600000000000023e+01
7.173499999999999321e-02,-4.547919999999999741e-01,1.560599999999999987e+01
7.038899999999999324e-02,-4.550589999999999913e-01,1.570599999999999952e+01
6.857800000000000007e-02,-4.554150000000000142e-01,1.580599999999999916e+01
6.750899999999999956e-02,-4.556259999999999755e-01,1.590600000000000058e+01
6.611300000000000510e-02,-4.559099999999999819e-01,1.600600000000000023e+01
6.532100000000000406e-02,-4.560730000000000062e-01,1.610699999999999932e+01
6.433899999999999342e-02,-4.562860000000000249e-01,1.620700000000000074e+01
6.382000000000000173e-02,-4.564030000000000031e-01,1.630699999999999861e+01
6.324399999999999467e-02,-4.565449999999999786e-01,1.640700000000000003e+01
6.297999999999999432e-02,-4.566219999999999724e-01,1.650700000000000145e+01
6.280700000000000172e-02,-4.566999999999999948e-01,1.660800000000000054e+01
6.281899999999999984e-02,-4.567320000000000269e-01,1.670799999999999841e+01
6.302199999999999469e-02,-4.567499999999999893e-01,1.680799999999999983e+01
6.327800000000000091e-02,-4.567390000000000061e-01,1.690800000000000125e+01
6.383600000000000385e-02,-4.566959999999999908e-01,1.700799999999999912e+01
6.432000000000000217e-02,-4.566490000000000271e-01,1.710800000000000054e+01
6.520700000000000107e-02,-4.565449999999999786e-01,1.720899999999999963e+01
6.590200000000000224e-02,-4.564559999999999729e-01,1.730900000000000105e+01
6.709099999999999786e-02,-4.562959999999999794e-01,1.740899999999999892e+01
6.797699999999999576e-02,-4.561740000000000239e-01,1.750900000000000034e+01
6.950099999999999334e-02,-4.559489999999999932e-01,1.760900000000000176e+01
7.055999999999999772e-02,-4.557860000000000245e-01,1.770899999999999963e+01
7.226299999999999391e-02,-4.555150000000000032e-01,1.780999999999999872e+01
7.346999999999999365e-02,-4.553180000000000005e-01,1.791000000000000014e+01
7.537599999999999856e-02,-4.549969999999999848e-01,1.801000000000000156e+01
7.670599999999999641e-02,-4.547680000000000056e-01,1.810999999999999943e+01
7.878100000000000380e-02,-4.544009999999999994e-01,1.821000000000000085e+01
8.021100000000000452e-02,-4.541419999999999901e-01,1.830999999999999872e+01
8.241900000000000615e-02,-4.537359999999999727e-01,1.841100000000000136e+01
8.392600000000000060e-02,-4.534500000000000197e-01,1.851099999999999923e+01
8.623100000000000209e-02,-4.530040000000000178e-01,1.861100000000000065e+01
8.779099999999999404e-02,-4.526959999999999873e-01,1.871099999999999852e+01
9.025700000000000389e-02,-4.521950000000000136e-01,1.881099999999999994e+01
9.184699999999999809e-02,-4.518630000000000146e-01,1.891100000000000136e+01
9.424200000000000632e-02,-4.513579999999999814e-01,1.901200000000000045e+01
9.583999999999999464e-02,-4.510129999999999972e-01,1.911199999999999832e+01
9.822999999999999787e-02,-4.504839999999999955e-01,1.921199999999999974e+01
9.981500000000000095e-02,-4.501290000000000013e-01,1.931200000000000117e+01
1.021709999999999979e-01,-4.495919999999999916e-01,1.941199999999999903e+01
1.037219999999999948e-01,-4.492320000000000202e-01,1.951300000000000168e+01
1.060149999999999981e-01,-4.486930000000000085e-01,1.961299999999999955e+01
1.075149999999999995e-01,-4.483329999999999815e-01,1.971300000000000097e+01
1.098100000000000048e-01,-4.477789999999999826e-01,1.981299999999999883e+01
1.112419999999999937e-01,-4.474290000000000211e-01,1.991300000000000026e+01
1.133310000000000012e-01,-4.469110000000000027e-01,2.001399999999999935e+01
1.146790000000000032e-01,-4.465689999999999937e-01,2.014600000000000080e+01
1.166330000000000006e-01,-4.460700000000000220e-01,2.021399999999999864e+01
1.178860000000000047e-01,-4.457450000000000023e-01,2.031400000000000006e+01
1.196890000000000037e-01,-4.452740000000000031e-01,2.041400000000000148e+01
1.208370000000000000e-01,-4.449730000000000074e-01,2.051399999999999935e+01
1.224750000000000005e-01,-4.445430000000000215e-01,2.061400000000000077e+01
1.235070000000000057e-01,-4.442679999999999962e-01,2.071499999999999986e+01
1.249659999999999938e-01,-4.438759999999999928e-01,2.081500000000000128e+01
1.258759999999999879e-01,-4.436289999999999956e-01,2.091499999999999915e+01
1.271980000000000055e-01,-4.432719999999999994e-01,2.101500000000000057e+01
1.279790000000000094e-01,-4.430620000000000114e-01,2.111499999999999844e+01
1.290520000000000000e-01,-4.427699999999999969e-01,2.121600000000000108e+01
1.297010000000000107e-01,-4.425910000000000122e-01,2.131599999999999895e+01
1.305769999999999986e-01,-4.423509999999999942e-01,2.141600000000000037e+01
1.310949999999999893e-01,-4.422130000000000227e-01,2.151599999999999824e+01
1.317730000000000012e-01,-4.420299999999999785e-01,2.161599999999999966e+01
