X,Y, tiempo
-3.462185999999999986e+00,6.661399999999999544e-01,9.795999999999999375e+00
-3.512221999999999955e+00,6.873759999999999870e-01,9.896000000000000796e+00
-3.545491000000000170e+00,7.018640000000000434e-01,9.996999999999999886e+00
-3.595274999999999999e+00,7.240450000000000497e-01,1.011400000000000077e+01
-3.628392999999999979e+00,7.391039999999999832e-01,1.019699999999999918e+01
-3.677974999999999994e+00,7.620529999999999804e-01,1.029700000000000060e+01
-3.710976000000000052e+00,7.775649999999999507e-01,1.039700000000000024e+01
-3.760410999999999948e+00,8.011080000000000423e-01,1.049699999999999989e+01
-3.793334000000000206e+00,8.169589999999999907e-01,1.059800000000000075e+01
-3.842680999999999791e+00,8.409250000000000336e-01,1.069800000000000040e+01
-3.877620999999999984e+00,8.580100000000000504e-01,1.079800000000000004e+01
-3.926943000000000072e+00,8.822410000000000529e-01,1.089799999999999969e+01
-3.959830999999999879e+00,8.984419999999999629e-01,1.099799999999999933e+01
-4.009189000000000114e+00,9.227710000000000079e-01,1.109900000000000020e+01
-4.042119999999999713e+00,9.389880000000000448e-01,1.119899999999999984e+01
-4.091572000000000209e+00,9.632669999999999844e-01,1.129899999999999949e+01
-4.124583999999999584e+00,9.794019999999999948e-01,1.139899999999999913e+01
-4.174183000000000199e+00,1.003490999999999911e+00,1.149900000000000055e+01
-4.207309999999999661e+00,1.019452999999999943e+00,1.159900000000000020e+01
-4.257103999999999999e+00,1.043220000000000036e+00,1.169999999999999929e+01
-4.290376000000000190e+00,1.058926999999999952e+00,1.180000000000000071e+01
-4.340408000000000044e+00,1.082249999999999934e+00,1.190000000000000036e+01
-4.375942000000000220e+00,1.098579999999999890e+00,1.200000000000000000e+01
-4.426251999999999853e+00,1.121336000000000110e+00,1.209999999999999964e+01
-4.459889000000000436e+00,1.136296999999999890e+00,1.220100000000000051e+01
-4.510495999999999839e+00,1.158401000000000014e+00,1.230100000000000016e+01
-4.544337999999999766e+00,1.172897999999999996e+00,1.240099999999999980e+01
-4.595261999999999958e+00,1.194263999999999992e+00,1.250099999999999945e+01
-4.629318999999999740e+00,1.208245000000000013e+00,1.260100000000000087e+01
-4.680570000000000341e+00,1.228803000000000090e+00,1.270100000000000051e+01
-4.714846999999999788e+00,1.242223000000000077e+00,1.280100000000000016e+01
-4.766428000000000331e+00,1.261914999999999898e+00,1.290199999999999925e+01
-4.800925999999999583e+00,1.274742000000000042e+00,1.300200000000000067e+01
-4.855001999999999818e+00,1.294292999999999916e+00,1.310200000000000031e+01
-4.889720999999999762e+00,1.306486000000000036e+00,1.320199999999999996e+01
-4.941958999999999769e+00,1.324300999999999950e+00,1.330199999999999960e+01
-4.976887999999999757e+00,1.335858999999999908e+00,1.340300000000000047e+01
-5.029431999999999903e+00,1.352716999999999947e+00,1.350300000000000011e+01
-5.064561000000000313e+00,1.363634999999999931e+00,1.360299999999999976e+01
-5.117397000000000418e+00,1.379531000000000063e+00,1.370299999999999940e+01
-5.152713999999999572e+00,1.389810999999999908e+00,1.380300000000000082e+01
-5.205822000000000394e+00,1.404755999999999894e+00,1.390300000000000047e+01
-5.241312999999999889e+00,1.414408000000000110e+00,1.400399999999999956e+01
-5.294673000000000407e+00,1.428425000000000056e+00,1.410399999999999920e+01
-5.330325000000000202e+00,1.437467000000000050e+00,1.420400000000000063e+01
-5.386148999999999631e+00,1.451122999999999941e+00,1.430400000000000027e+01
-5.421948999999999685e+00,1.459567999999999977e+00,1.440399999999999991e+01
